name,x,y,z
root,0,0.0,0.0,0.0
root_cross_right,10.0,-1.0,0.0
root_cross_left,-13.0,-20.0,0.0
root_cross_right2,9.94,-15.8,-3.66
conn_k,-17.47,-91.09,22.21
cross_e,-13.62,-24.36,0.65
cross_bag_br,22.15,-45.55,1.35
cross_ij1,1.83,-29.18,-15.04
cross_e_c,-23.85,-51.12,6.88
cross_f,-13.85,-27.78,0.98
bag_b_r,26.71,-90.09,-11.27
bag_a_r,63.22,-102.28,62.04
conn_b,35.88,-74.36,2.37
cross_ij2,-7.93,-45.33,-28.75
conn_e,-22.19,-76.9,10.85
conn_c,-42.03,-66.56,12.6
cross_k,-11.53,-44.47,3.52
cross_f30,-19.03,-45.6,1.86
conn_i,-18.22,-50.92,-23.1
conn_j,-5.0,-48.53,-27.79
box,-7.71,-56.4,2.46
conn_a,15.51,-42.45,13.98
conn_f_30,-26.07,-76.98,9.84
cross_f37,-34.01,-89.66,-2.92
conn_f_60,-31.02,-91.17,5.59
bag_b_l,12.91,-85.95,35.33
cross_gh,3.09,-78.37,24.8
conn_f_37,-33.02,-91.44,1.32
conn_d,-41.27,-95.86,-17.97
conn_g,2.75,-84.45,17.8
conn_h,5.52,-85.31,20.44
bag_a_l,52.52,-168.75,28.94
