distances,mae,component_mae
1,2.216625,1.3576491228070178
2,2.46925,2.3087017543859654
3,2.8490833333333336,2.3610526315789477
4,3.2798333333333325,3.0107719298245605
5,3.058291666666667,2.6983508771929823
6,2.8566458333333333,2.4644561403508773
7,3.2917500000000004,2.8381754385964912
8,3.555916666666667,3.4978596491228067
9,3.7035624999999994,3.526456140350877
10,3.7324999999999995,3.7821754385964907
11,4.1554375,4.354631578947368
12,4.253958333333333,4.490771929824562
13,4.359770833333333,4.731754385964912
14,4.769374999999999,5.0028771929824565
15,4.771333333333334,5.297929824561404
16,5.029104166666667,5.694140350877193
17,5.752020833333333,6.5633684210526315
18,5.377145833333333,6.528947368421053
19,6.011895833333333,6.890456140350878
20,5.631541666666666,6.384596491228069
